population_density,people_fully_vaccinated,new_cases
124.027,1434640.0,6169.0
124.027,1445170.0,9953.0
124.027,0,17277.0
124.027,1555400.0,21111.0
124.027,1595520.0,18873.0
124.027,1602745.0,21063.0
124.027,1606154.0,17272.0
124.027,1610293.0,10895.0
124.027,1621287.0,14394.0
124.027,1664524.0,25053.0
124.027,1730349.0,27274.0
124.027,1769770.0,25996.0
124.027,1780169.0,26456.0
124.027,1783720.0,21850.0
124.027,1788446.0,14579.0
124.027,1808008.0,16740.0
124.027,1857517.0,30802.0
124.027,0,34150.0
124.027,1969905.0,35145.0
124.027,0,31759.0
124.027,1992611.0,29266.0
124.027,0,16973.0
124.027,2019040.0,20862.0
124.027,2039663.0,32891.0
124.027,2058204.0,35253.0
124.027,2070003.0,30541.0
124.027,0,28073.0
124.027,2073334.0,22958.0
124.027,2074033.0,9921.0
124.027,0,8246.0
124.027,2090058.0,14908.0
124.027,2096185.0,27890.0
124.027,0,28499.0
124.027,2105550.0,24892.0
124.027,2106549.0,21733.0
124.027,2113615.0,12016.0
124.027,2137304.0,13203.0
124.027,0,21266.0
124.027,2248126.0,21126.0
124.027,0,17846.0
124.027,0,15786.0
124.027,0,12151.0
124.027,2307284.0,7302.0
124.027,2341716.0,9244.0
124.027,2415993.0,13922.0
124.027,2495838.0,12763.0
124.027,2543112.0,10866.0
124.027,0,9510.0
124.027,2578244.0,7224.0
124.027,0,3467.0
124.027,2746824.0,5711.0
124.027,2852329.0,8893.0
124.027,2872925.0,8426.0
124.027,0,6789.0
124.027,2959722.0,6475.0
124.027,0,4616.0
124.027,2977374.0,2523.0
124.027,0,2296.0
124.027,3308889.0,3899.0
124.027,3451651.0,6427.0
124.027,3579910.0,6047.0
124.027,3650119.0,4771.0
124.027,3671671.0,3856.0
124.027,3728697.0,2031.0
124.027,3839390.0,3097.0
124.027,0,4159.0
124.027,4241956.0,3423.0
124.027,4415044.0,3252.0
124.027,4535597.0,2897.0
124.027,4577701.0,2168.0
124.027,4642010.0,1111.0
124.027,4794334.0,1734.0
124.027,0,2337.0
124.027,5222430.0,2090.0
124.027,5410599.0,1680.0
124.027,5553678.0,1515.0
124.027,5597165.0,1076.0
124.027,5689744.0,559.0
124.027,5855700.0,1006.0
124.027,6071067.0,1263.0
124.027,6308403.0,1202.0
124.027,6562897.0,943.0
124.027,6786561.0,776.0
124.027,6868820.0,579.0
124.027,7019149.0,333.0
124.027,7300303.0,585.0
